model,forecast_date,indicator,filename,first_commit,latest_commit,source,diff,retrospective,status
KIT-hhh4,2024-11-07,sari,2024-11-07-icosari-sari-KIT-hhh4.csv,2024-11-07,2024-11-07,icosari,0,FALSE,Prospective
KIT-simple_nowcast,2024-11-07,sari,2024-11-07-icosari-sari-KIT-simple_nowcast.csv,2024-11-07,2024-11-07,icosari,0,FALSE,Prospective
MPIDS-PS_embedding,2024-11-07,sari,2024-11-07-icosari-sari-MPIDS-PS_embedding.csv,2024-11-07,2024-11-07,icosari,0,FALSE,Prospective
KIT-epinowcast,2024-11-07,sari,2024-11-07-icosari-sari-KIT-epinowcast.csv,2024-11-07,2024-11-07,icosari,0,FALSE,Prospective
RIVM-GAM,2024-11-07,sari,2024-11-07-icosari-sari-RIVM-GAM.csv,2024-11-08,2024-11-08,icosari,1,FALSE,Prospective
RKI-Pilot_01,2024-11-07,sari,2024-11-07-icosari-sari-RKI-Pilot_01.csv,2025-06-04,2025-06-04,icosari,209,TRUE,Retrospective
KIT-LightGBM,2024-11-14,sari,2024-11-14-icosari-sari-KIT-LightGBM.csv,2024-11-15,2024-11-15,icosari,1,FALSE,Prospective
KIT-TSMixer,2024-11-14,sari,2024-11-14-icosari-sari-KIT-TSMixer.csv,2024-11-15,2024-11-15,icosari,1,FALSE,Prospective
KIT-hhh4,2024-11-14,sari,2024-11-14-icosari-sari-KIT-hhh4.csv,2024-11-15,2024-11-15,icosari,1,FALSE,Prospective
KIT-simple_nowcast,2024-11-14,sari,2024-11-14-icosari-sari-KIT-simple_nowcast.csv,2024-11-15,2024-11-15,icosari,1,FALSE,Prospective
MPIDS-PS_embedding,2024-11-14,sari,2024-11-14-icosari-sari-MPIDS-PS_embedding.csv,2024-11-14,2024-11-14,icosari,0,FALSE,Prospective
KIT-epinowcast,2024-11-14,sari,2024-11-14-icosari-sari-KIT-epinowcast.csv,2024-11-15,2024-11-15,icosari,1,FALSE,Prospective
RIVM-GAM,2024-11-14,sari,2024-11-14-icosari-sari-RIVM-GAM.csv,2024-11-15,2024-11-15,icosari,1,FALSE,Prospective
RKI-Pilot_01,2024-11-14,sari,2024-11-14-icosari-sari-RKI-Pilot_01.csv,2025-06-04,2025-06-04,icosari,202,TRUE,Retrospective
KIT-LightGBM,2024-11-21,sari,2024-11-21-icosari-sari-KIT-LightGBM.csv,2024-11-22,2024-11-22,icosari,1,FALSE,Prospective
KIT-TSMixer,2024-11-21,sari,2024-11-21-icosari-sari-KIT-TSMixer.csv,2024-11-22,2024-11-22,icosari,1,FALSE,Prospective
KIT-hhh4,2024-11-21,sari,2024-11-21-icosari-sari-KIT-hhh4.csv,2024-11-21,2024-11-21,icosari,0,FALSE,Prospective
KIT-simple_nowcast,2024-11-21,sari,2024-11-21-icosari-sari-KIT-simple_nowcast.csv,2024-11-21,2024-11-21,icosari,0,FALSE,Prospective
MPIDS-PS_embedding,2024-11-21,sari,2024-11-21-icosari-sari-MPIDS-PS_embedding.csv,2024-11-21,2024-11-21,icosari,0,FALSE,Prospective
KIT-epinowcast,2024-11-21,sari,2024-11-21-icosari-sari-KIT-epinowcast.csv,2024-11-22,2024-11-22,icosari,1,FALSE,Prospective
RIVM-GAM,2024-11-21,sari,2024-11-21-icosari-sari-RIVM-GAM.csv,2024-11-23,2024-11-23,icosari,2,FALSE,Prospective
RKI-Pilot_01,2024-11-21,sari,2024-11-21-icosari-sari-RKI-Pilot_01.csv,2025-06-04,2025-06-04,icosari,195,TRUE,Retrospective
KIT-LightGBM,2024-11-28,sari,2024-11-28-icosari-sari-KIT-LightGBM.csv,2024-11-29,2024-11-29,icosari,1,FALSE,Prospective
KIT-TSMixer,2024-11-28,sari,2024-11-28-icosari-sari-KIT-TSMixer.csv,2024-12-02,2024-12-02,icosari,4,FALSE,Prospective
KIT-hhh4,2024-11-28,sari,2024-11-28-icosari-sari-KIT-hhh4.csv,2024-11-29,2024-11-29,icosari,1,FALSE,Prospective
KIT-simple_nowcast,2024-11-28,sari,2024-11-28-icosari-sari-KIT-simple_nowcast.csv,2024-11-29,2024-11-29,icosari,1,FALSE,Prospective
MPIDS-PS_embedding,2024-11-28,sari,2024-11-28-icosari-sari-MPIDS-PS_embedding.csv,2024-11-28,2024-11-28,icosari,0,FALSE,Prospective
KIT-epinowcast,2024-11-28,sari,2024-11-28-icosari-sari-KIT-epinowcast.csv,2024-11-29,2024-11-29,icosari,1,FALSE,Prospective
RIVM-GAM,2024-11-28,sari,2024-11-28-icosari-sari-RIVM-GAM.csv,2024-11-29,2024-11-29,icosari,1,FALSE,Prospective
RKI-Pilot_01,2024-11-28,sari,2024-11-28-icosari-sari-RKI-Pilot_01.csv,2025-06-04,2025-06-04,icosari,188,TRUE,Retrospective
KIT-LightGBM,2024-12-05,sari,2024-12-05-icosari-sari-KIT-LightGBM.csv,2024-12-06,2024-12-06,icosari,1,FALSE,Prospective
KIT-TSMixer,2024-12-05,sari,2024-12-05-icosari-sari-KIT-TSMixer.csv,2024-12-06,2024-12-06,icosari,1,FALSE,Prospective
KIT-hhh4,2024-12-05,sari,2024-12-05-icosari-sari-KIT-hhh4.csv,2024-12-05,2024-12-05,icosari,0,FALSE,Prospective
KIT-simple_nowcast,2024-12-05,sari,2024-12-05-icosari-sari-KIT-simple_nowcast.csv,2024-12-05,2024-12-05,icosari,0,FALSE,Prospective
MPIDS-PS_embedding,2024-12-05,sari,2024-12-05-icosari-sari-MPIDS-PS_embedding.csv,2024-12-05,2024-12-05,icosari,0,FALSE,Prospective
KIT-epinowcast,2024-12-05,sari,2024-12-05-icosari-sari-KIT-epinowcast.csv,2024-12-05,2024-12-05,icosari,0,FALSE,Prospective
RIVM-GAM,2024-12-05,sari,2024-12-05-icosari-sari-RIVM-GAM.csv,2024-12-06,2024-12-06,icosari,1,FALSE,Prospective
RKI-Pilot_01,2024-12-05,sari,2024-12-05-icosari-sari-RKI-Pilot_01.csv,2025-06-04,2025-06-04,icosari,181,TRUE,Retrospective
KIT-LightGBM,2024-12-12,sari,2024-12-12-icosari-sari-KIT-LightGBM.csv,2024-12-13,2024-12-13,icosari,1,FALSE,Prospective
KIT-TSMixer,2024-12-12,sari,2024-12-12-icosari-sari-KIT-TSMixer.csv,2024-12-13,2024-12-13,icosari,1,FALSE,Prospective
